Hero;Win Rate;Pick Rate;KDA Ratio
Silencer;56.18%;15.65%;2.89
Arc Warden;54.98%;5.61%;3.5
Clinkz;54.56%;10.95%;3.47
Riki;54.48%;6.16%;4.1
Drow Ranger;54.41%;16.99%;3.03
Visage;54.39%;1.88%;3.16
Meepo;54.05%;2.04%;2.79
Spectre;54.03%;8.42%;4.35
Omniknight;53.40%;3.80%;2.39
Legion Commander;53.18%;15.02%;2.71
Naga Siren;53.07%;3.66%;3.52
Slardar;52.71%;8.70%;2.5
Axe;52.60%;14.61%;2.45
Crystal Maiden;52.43%;15.12%;2.22
Centaur Warrunner;52.42%;5.04%;2.9
Undying;52.36%;13.92%;2.62
Mirana;52.33%;12.11%;3.45
Jakiro;52.31%;11.60%;2.34
Anti-Mage;52.21%;11.78%;3.19
Ancient Apparition;52.09%;7.48%;2.75
Lich;51.97%;8.92%;2.41
Dazzle;51.96%;9.80%;2.31
Underlord;51.95%;3.51%;2.77
Juggernaut;51.93%;19.26%;3.08
WitchDoctor;51.90%;18.47%;2.23
Shadow Shaman;51.87%;13.02%;1.91
Lone Druid;51.86%;3.09%;2.87
Vengeful Spirit;51.79%;6.68%;2.15
Lycan;51.73%;1.80%;3.21
Leshrac;51.65%;7.22%;2.69
Night Stalker;51.64%;5.08%;3.04
Slark;51.50%;16.64%;2.95
Sniper;51.36%;21.66%;3.34
Skywrath Mage;51.35%;12.74%;2.61
Shadow Fiend;51.29%;20.13%;2.82
Abaddon;51.28%;3.56%;2.78
Pudge;51.11%;27.56%;2.36
Warlock;51.08%;4.67%;2.69
Zeus;51.06%;15.21%;4.02
Tinker;51.03%;8.35%;3.51
Outworld Destroyer;51.01%;8.17%;2.96
Dawnbreaker;50.91%;8.18%;2.92
Earthshaker;50.86%;13.02%;2.52
Nyx Assassin;50.82%;5.77%;2.33
Disruptor;50.78%;9.15%;2.65
Luna;50.76%;7.03%;2.71
Troll Warlord;50.67%;4.69%;2.4
Treant Protector;50.64%;4.10%;2.64
Huskar;50.61%;7.05%;2.0
SandKing;50.55%;5.90%;2.63
Phantom Lancer;50.41%;5.97%;2.81
Tidehunter;50.27%;6.39%;3.09
Lifestealer;50.25%;8.16%;3.14
Bounty Hunter;50.09%;9.65%;2.7
Venomancer;50.03%;8.12%;2.3
Wraith King;49.98%;8.41%;2.94
Gyrocopter;49.96%;7.69%;2.57
Techies;49.95%;8.59%;2.19
Ursa;49.84%;9.23%;2.87
Clockwerk;49.84%;5.27%;2.59
Marci;49.84%;10.00%;2.45
Dark Seer;49.76%;1.85%;2.83
Hoodwink;49.61%;10.98%;3.16
Necrophos;49.60%;9.76%;2.86
Chen;49.54%;1.00%;2.51
Elder Titan;49.45%;1.85%;2.43
Spirit Breaker;49.44%;8.97%;2.78
Brewmaster;49.43%;1.14%;2.91
Chaos Knight;49.39%;5.32%;2.5
Phoenix;49.23%;3.68%;2.8
Io;49.22%;2.75%;2.63
Enigma;49.15%;6.73%;2.27
Oracle;49.06%;2.89%;2.93
Ogre Magi;48.99%;14.62%;2.22
Weaver;48.88%;7.19%;3.26
Medusa;48.87%;4.91%;3.5
Sven;48.87%;5.63%;2.58
Bloodseeker;48.82%;5.63%;2.79
Void Spirit;48.65%;6.86%;3.43
Windranger;48.56%;12.24%;2.84
Dark Willow;48.49%;6.48%;2.41
Magnus;48.48%;9.42%;2.66
Winter Wyvern;48.37%;5.13%;2.3
Tusk;48.30%;7.91%;2.54
Faceless Void;48.25%;15.34%;3.16
Beastmaster;48.24%;1.59%;2.49
Invoker;48.08%;15.71%;3.27
Tiny;48.03%;9.26%;2.79
Razor;47.93%;4.16%;2.53
Grimstroke;47.69%;6.00%;2.49
Bane;47.68%;2.87%;2.15
Mars;47.67%;8.49%;2.81
Phantom Assassin;47.61%;16.76%;2.69
Bristleback;47.47%;8.88%;2.46
Kunkka;47.37%;6.61%;2.9
Primal Beast;47.33%;7.85%;2.73
Death Prophet;47.27%;4.30%;2.72
Morphling;47.22%;9.60%;3.01
Snapfire;47.10%;8.94%;2.72
Lion;47.06%;19.71%;1.96
Dragon Knight;47.04%;3.81%;2.55
Doom;47.03%;5.14%;2.51
Viper;46.85%;8.60%;2.52
Broodmother;46.70%;1.32%;2.14
Timbersaw;46.62%;4.53%;2.64
Rubick;46.62%;15.37%;2.57
Ember Spirit;46.50%;7.73%;3.57
Pangolier;46.31%;5.97%;2.77
Enchantress;46.18%;4.85%;2.45
Earth Spirit;46.04%;2.87%;2.25
Shadow Demon;45.91%;2.20%;2.28
Puck;45.91%;6.24%;3.21
Alchemist;45.88%;3.89%;2.46
Storm Spirit;45.86%;5.17%;3.05
Lina;45.85%;12.66%;2.33
Keeper of the Light;45.81%;4.09%;2.85
Pugna;45.53%;4.15%;2.45
Queen of Pain;45.44%;7.65%;3.11
Terrorblade;44.83%;3.18%;2.58
Nature's Prophet;44.67%;6.92%;2.11
Monkey King;44.66%;8.52%;2.55
Templar Assassin;44.52%;5.11%;2.8
Batrider;42.31%;2.57%;2.66
